Country,Year,GDP,Population,Urban_Population,Electricity_Access,Urban_Electricity_Acess,Brightness,UPC,EAC,BC,int_B_UP,int_B_EA,int_UP_EA,int_ALL
Botswana,2023,23.68833705,14.7238679,14.40733351,4.343805422,4.592084946,11.38223948,-1.208381489999999,-0.04811057800000018,-0.8342055199999994,1.008038509223823,0.040134109737990684,0.058135931928401385,-0.048497315325016645
Brazil,2019,28.2587164,19.15042722,19.00914012,4.613138356,4.615120517,15.97054287,3.3934251200000016,0.22122235600000018,3.754097869999999,12.739250014996497,0.8304903754559821,0.7507014999559837,2.8182069019905627
Brazil,2020,28.02042949,19.15622073,19.01779739,4.6121458,4.614129927,15.97609363,3.4020823899999986,0.22022980000000025,3.759648629999999,12.790634396710617,0.8279866658551748,0.7492399243332225,2.816878855060703
Brazil,2021,28.14423233,19.16047434,19.02484933,4.610157727,4.613138356,16.01004797,3.4091343299999988,0.21824172699999966,3.7936029699999985,12.93290211941695,0.8279224637251276,0.7440153637541865,2.822498893663511
Brazil,2022,28.29983664,19.16407615,19.03117313,4.615120517,4.615120517,16.02525181,3.4154581299999993,0.2232045170000001,3.80880681,13.008820184813864,0.8501428843723612,0.7623456822403734,2.90362742609123
Brazil,2023,28.4074361,19.16803544,19.03779007,4.613138356,4.614129927,16.15081867,3.42207507,0.22122235600000018,3.9343736699999994,13.463722052171406,0.8703714126617671,0.7570395093942656,2.9784763129105154
Brunei,2019,23.32367406,13.0006047,12.75140114,4.615120517,4.615120517,11.02591491,-2.8643138599999993,0.2232045170000001,-1.190530090000001,3.41005183753405,-0.2657316937124169,-0.6393277916577058,0.7611389733417504
Brunei,2020,23.20865568,13.0112195,12.76595983,4.615120517,4.615120517,11.04083566,-2.84975517,0.2232045170000001,-1.1756093399999994,3.350198794565286,-0.26240131491538876,-0.6360782262881032,0.7477795037949272
Brunei,2021,23.3627871,13.02082223,12.77943917,4.615120517,4.615120517,10.62252537,-2.83627583,0.2232045170000001,-1.5939196300000003,4.5207957215315435,-0.35577006115096893,-0.6330695767139244,1.009062025480115
Brunei,2022,23.53756834,13.02886775,12.79129491,4.615120517,4.615120517,10.88713132,-2.8244200900000003,0.2232045170000001,-1.3293136800000003,3.7545402637038325,-0.29670881788589276,-0.6304233219935469,0.838030346117067
Brunei,2023,23.43983253,13.03669655,12.80286035,4.615120517,4.615120517,10.87448773,-2.8128546500000002,0.2232045170000001,-1.34195727,3.7747307470208056,-0.29953092428498873,-0.6278418635444544,0.8425369531938285
Bulgaria,2019,24.95202075,15.75795213,15.47488617,4.607168189,4.609162207,12.73903273,-0.14082883000000024,0.2152521890000001,0.5225877299999997,-0.07359541858825598,0.11248815282704096,-0.030313713931808935,-0.015841574951493395
